Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),Accumulated other comprehensive income/(loss) (3 Months Ended)
"Beginning balances at Sep. 26, 2020",65339.0,50779.0,14966.0,-406.0
Common stock issued,,561.0,,
Common stock withheld related to net share settlement of equity awards,,-1236.0,-2047.0,
Share-based compensation,,4099.0,,
Net income,52385.0,,52385.0,
Dividends and dividend equivalents declared,,,-7042.0,
Common stock repurchased,,,-43001.0,
Other comprehensive income/(loss),120.0,,,120.0
"Ending balances at Mar. 27, 2021",69178.0,54203.0,15261.0,-286.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.41,,,
"Beginning balances at Dec. 26, 2020",66224.0,51744.0,14301.0,179.0
Common stock issued,,561.0,,
Common stock withheld related to net share settlement of equity awards,,-135.0,-174.0,
Share-based compensation,,2033.0,,
Net income,23630.0,,23630.0,
Dividends and dividend equivalents declared,,,-3495.0,
Common stock repurchased,,,-19001.0,
Other comprehensive income/(loss),-465.0,,,-465.0
"Ending balances at Mar. 27, 2021",69178.0,54203.0,15261.0,-286.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.205,,,
"Beginning balances at Sep. 25, 2021",63090.0,57365.0,5562.0,163.0
Common stock issued,,593.0,,
Common stock withheld related to net share settlement of equity awards,,-1412.0,-1920.0,
Share-based compensation,,4635.0,,
Net income,59640.0,,59640.0,
Dividends and dividend equivalents declared,,,-7298.0,
Common stock repurchased,-43300.0,,-43272.0,
Other comprehensive income/(loss),-6657.0,,,-6657.0
"Ending balances at Mar. 26, 2022",67399.0,61181.0,12712.0,-6494.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.44,,,
"Beginning balances at Dec. 25, 2021",71932.0,58424.0,14435.0,-927.0
Common stock issued,,593.0,,
Common stock withheld related to net share settlement of equity awards,,-149.0,-190.0,
Share-based compensation,,2313.0,,
Net income,25010.0,,25010.0,
Dividends and dividend equivalents declared,,,-3633.0,
Common stock repurchased,,,-22910.0,
Other comprehensive income/(loss),-5567.0,,,-5567.0
"Ending balances at Mar. 26, 2022",67399.0,61181.0,12712.0,-6494.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.22,,,
