Category,Total (12 Months Ended),Common stock and additional paid-in capital (12 Months Ended),Retained earnings/(Accumulated deficit) (12 Months Ended),"Retained earnings/(Accumulated deficit) 
Cumulative effect of change in accounting principle (12 Months Ended)",Accumulated other comprehensive income/(loss) (12 Months Ended),"Accumulated other comprehensive income/(loss) 
Cumulative effect of change in accounting principle (12 Months Ended)"
"Beginning balances at Sep. 28, 2019",90488.0,45174.0,45898.0,-136.0,-584.0,136.0
Common stock issued,,880.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2250.0,-1604.0,,,
Share-based compensation,,6975.0,,,,
Net income,57411.0,,57411.0,,,
Dividends and dividend equivalents declared,,,-14087.0,,,
Common stock repurchased,,,-72516.0,,,
Other comprehensive income/(loss),42.0,,,,42.0,
"Ending balances at Sep. 26, 2020",65339.0,50779.0,14966.0,0.0,-406.0,0.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.795,,,,,
Common stock issued,,1105.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2627.0,-4151.0,,,
Share-based compensation,,8108.0,,,,
Net income,94680.0,,94680.0,,,
Dividends and dividend equivalents declared,,,-14431.0,,,
Common stock repurchased,,,-85502.0,,,
Other comprehensive income/(loss),569.0,,,,569.0,
"Ending balances at Sep. 25, 2021",63090.0,57365.0,5562.0,0.0,163.0,0.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.85,,,,,
Common stock issued,,1175.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2971.0,-3454.0,,,
Share-based compensation,,9280.0,,,,
Net income,99803.0,,99803.0,,,
Dividends and dividend equivalents declared,,,-14793.0,,,
Common stock repurchased,-90200.0,,-90186.0,,,
Other comprehensive income/(loss),-11272.0,,,,-11272.0,
"Ending balances at Sep. 24, 2022",50672.0,64849.0,-3068.0,,-11109.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.9,,,,,
