Category,"Jun. 26, 2021 (3 Months Ended)","Jun. 27, 2020 (3 Months Ended)","Jun. 26, 2021 (9 Months Ended)","Jun. 27, 2020 (9 Months Ended)"
Net sales,81434.0,59685.0,282457.0,209817.0
Cost of sales,46179.0,37005.0,164795.0,129550.0
Gross margin,35255.0,22680.0,117662.0,80267.0
Research and development,5717.0,4758.0,16142.0,13774.0
"Selling, general and administrative",5412.0,4831.0,16357.0,14980.0
Total operating expenses,11129.0,9589.0,32499.0,28754.0
Operating income,24126.0,13091.0,85163.0,51513.0
"Other income/(expense), net",243.0,46.0,796.0,677.0
Income before provision for income taxes,24369.0,13137.0,85959.0,52190.0
Provision for income taxes,2625.0,1884.0,11830.0,7452.0
Net income,21744.0,11253.0,74129.0,44738.0
Basic (in dollars per share),1.31,0.65,4.42,2.56
Diluted (in dollars per share),1.3,0.65,4.38,2.54
Basic (in shares),16629371.0,17250291.0,16772656.0,17450284.0
Diluted (in shares),16781735.0,17419154.0,16941527.0,17618778.0
Products,,,,
Net sales,63948.0,46529.0,232309.0,170598.0
Cost of sales,40899.0,32693.0,149476.0,116089.0
Services,,,,
Net sales,17486.0,13156.0,50148.0,39219.0
Cost of sales,5280.0,4312.0,15319.0,13461.0
